HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT56.hmm	357	BCW-201854_00111	358	3.2e-157	1	356	1	351	0.9943977591036415
GT26.hmm	171	BCW-201854_00113	246	9.9e-63	2	171	62	231	0.9883040935672515
GH37.hmm	491	BCW-201854_00190	560	3.3e-185	2	491	62	540	0.9959266802443992
GH23.hmm	135	BCW-201854_00194	215	3.5e-19	15	122	65	213	0.7925925925925926
GH24.hmm	137	BCW-201854_00239	155	3.7e-17	4	126	3	135	0.8905109489051095
GT2_Glycos_transf_2.hmm	170	BCW-201854_00382	258	1.9e-20	1	133	8	137	0.7764705882352941
GT30.hmm	177	BCW-201854_00383	424	8.7e-76	1	176	32	210	0.9887005649717514
GT9.hmm	225	BCW-201854_00384	338	9.4e-40	2	208	78	321	0.9155555555555556
GT4.hmm	160	BCW-201854_00385	365	2.4e-31	7	154	197	342	0.91875
GT4.hmm	160	BCW-201854_00386	375	8.4e-32	8	148	204	337	0.875
GT9.hmm	225	BCW-201854_00387	357	1e-62	2	205	87	320	0.9022222222222223
GT9.hmm	225	BCW-201854_00389	370	2.1e-38	7	205	106	331	0.88
GT9.hmm	225	BCW-201854_00390	358	6.7e-25	3	193	110	325	0.8444444444444444
GT9.hmm	225	BCW-201854_00391	329	8.7e-40	2	205	76	300	0.9022222222222223
GT9.hmm	225	BCW-201854_00392	348	1.8e-55	1	203	69	306	0.8977777777777778
GH102.hmm	157	BCW-201854_00497	380	1.9e-39	51	157	150	257	0.6751592356687898
GH1.hmm	429	BCW-201854_00537	475	5.9e-119	4	427	7	464	0.986013986013986
GH13_10.hmm	298	BCW-201854_00630	595	8e-95	1	298	123	436	0.9966442953020134
GH13_26.hmm	272	BCW-201854_00631	841	2e-91	3	268	24	307	0.9742647058823529
CBM48.hmm	76	BCW-201854_00632	691	9.9e-19	3	72	17	108	0.9078947368421053
GH13_11.hmm	346	BCW-201854_00632	691	4.7e-135	1	346	188	536	0.9971098265895953
GT51.hmm	177	BCW-201854_00693	771	8.3e-44	10	162	56	209	0.8587570621468926
GH23.hmm	135	BCW-201854_00715	485	1.6e-23	8	120	295	446	0.8296296296296296
GH73.hmm	128	BCW-201854_00765	315	5.4e-38	5	126	162	296	0.9453125
GT41.hmm	705	BCW-201854_00785	1128	3.6e-106	44	523	516	1106	0.6794326241134752
AA3.hmm	618	BCW-201854_00911	548	8.2e-105	88	403	2	536	0.5097087378640777
GH2.hmm	752	BCW-201854_01024	1027	1.5e-214	19	750	43	917	0.9720744680851063
GH23.hmm	135	BCW-201854_01099	412	2.9e-21	2	123	61	200	0.8962962962962963
GH23.hmm	135	BCW-201854_01118	158	2.3e-19	15	127	33	148	0.8296296296296296
GH5_48.hmm	313	BCW-201854_01233	405	7.6e-153	2	313	43	358	0.9936102236421726
GH23.hmm	135	BCW-201854_01236	154	3.9e-21	3	122	24	151	0.8814814814814815
GT51.hmm	177	BCW-201854_01307	241	4.4e-53	11	177	62	227	0.9378531073446328
GH13_29.hmm	345	BCW-201854_01408	553	6e-176	1	345	29	372	0.9971014492753624
GH20.hmm	337	BCW-201854_01409	790	1.8e-117	8	337	151	583	0.9762611275964391
GT19.hmm	354	BCW-201854_01487	381	1.4e-140	1	352	8	364	0.9915254237288136
GT51.hmm	177	BCW-201854_01519	846	1.6e-56	9	175	210	380	0.9378531073446328
GH33.hmm	342	BCW-201854_01548	393	6e-29	25	315	36	362	0.847953216374269
GH43_26.hmm	292	BCW-201854_01568	324	4.3e-118	3	292	6	305	0.9897260273972602
AA10.hmm	178	BCW-201854_01601	482	4.2e-51	1	177	23	193	0.9887640449438202
CE11.hmm	271	BCW-201854_01605	305	8e-122	1	270	4	276	0.992619926199262
GT28.hmm	157	BCW-201854_01611	352	6.5e-49	2	157	183	339	0.9872611464968153
GH23.hmm	135	BCW-201854_01680	640	2.1e-30	18	121	492	617	0.762962962962963
GT51.hmm	177	BCW-201854_01864	849	2.6e-70	2	176	55	229	0.9830508474576272
GH13_18.hmm	337	BCW-201854_01877	562	7.2e-105	2	337	81	422	0.9940652818991098
GH77.hmm	494	BCW-201854_01883	689	7.2e-159	1	490	146	685	0.9898785425101214
GT35.hmm	674	BCW-201854_01884	800	9.1e-259	1	673	91	798	0.9970326409495549
GT35.hmm	674	BCW-201854_01890	815	4.8e-283	1	674	101	811	0.9985163204747775
GT5.hmm	472	BCW-201854_01891	477	1.9e-160	1	471	2	474	0.9957627118644068
CBM48.hmm	76	BCW-201854_01893	661	2.8e-17	2	72	11	101	0.9210526315789473
GH13_11.hmm	346	BCW-201854_01893	661	3e-140	1	346	173	523	0.9971098265895953
CBM48.hmm	76	BCW-201854_01894	728	8.6e-22	3	72	125	211	0.9078947368421053
GH13_9.hmm	291	BCW-201854_01894	728	8.7e-138	1	290	274	574	0.993127147766323
CE10.hmm	341	BCW-201854_01976	285	5.4e-23	84	330	51	280	0.7214076246334311
GH109.hmm	126	BCW-201854_01980	241	7e-18	1	121	8	120	0.9523809523809523
CE10.hmm	341	BCW-201854_02034	291	1.2e-29	77	312	43	267	0.6891495601173021
GT2_Glycos_transf_2.hmm	170	BCW-201854_02042	872	4.7e-32	2	170	279	450	0.9882352941176471
GH8.hmm	320	BCW-201854_02049	333	7.1e-87	3	319	26	329	0.9875
