HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH23.hmm	135	BCW-200061_00043	220	2e-19	17	124	70	218	0.7925925925925926
AA3.hmm	618	BCW-200061_00045	594	6e-51	89	404	7	587	0.5097087378640777
CE1.hmm	227	BCW-200061_00068	280	1.7e-52	2	224	26	275	0.9779735682819384
GT84.hmm	215	BCW-200061_00142	2882	3.1e-98	2	215	1333	1546	0.9906976744186047
GH94.hmm	1036	BCW-200061_00142	2882	0	2	1036	1786	2878	0.9980694980694981
PL9.hmm	374	BCW-200061_00187	687	4.2e-99	4	308	373	664	0.8128342245989305
PL22.hmm	265	BCW-200061_00189	388	1.6e-31	134	234	33	134	0.37735849056603776
PL22.hmm	265	BCW-200061_00189	388	2.3e-76	1	168	215	382	0.630188679245283
GH23.hmm	135	BCW-200061_00251	161	4.9e-18	3	123	27	155	0.8888888888888888
GH31.hmm	427	BCW-200061_00341	787	1.7e-130	1	425	237	681	0.9929742388758782
GT2_Glycos_transf_2.hmm	170	BCW-200061_00345	303	2.2e-31	1	168	4	166	0.9823529411764705
GT2_Glycos_transf_2.hmm	170	BCW-200061_00447	323	1.7e-29	1	102	8	107	0.5941176470588235
GT2_Glycos_transf_2.hmm	170	BCW-200061_00448	346	5.3e-34	1	169	7	169	0.9882352941176471
GT4.hmm	160	BCW-200061_00450	384	1.5e-28	4	148	198	344	0.9
GT26.hmm	171	BCW-200061_00451	238	2.6e-29	4	167	47	214	0.9532163742690059
GH16.hmm	189	BCW-200061_00452	264	1.6e-23	12	188	69	260	0.9312169312169312
GT4.hmm	160	BCW-200061_00459	1239	1.2e-35	9	157	225	375	0.925
GT4.hmm	160	BCW-200061_00459	1239	1.3e-28	9	153	1067	1211	0.9
GT4.hmm	160	BCW-200061_00462	377	3.5e-32	9	154	201	346	0.90625
GT4.hmm	160	BCW-200061_00463	373	1.2e-33	4	159	189	341	0.96875
GT51.hmm	177	BCW-200061_00635	833	5.9e-57	9	175	215	385	0.9378531073446328
CE4.hmm	130	BCW-200061_00648	430	3e-29	5	128	241	384	0.9461538461538461
GH103.hmm	295	BCW-200061_00684	359	4e-94	8	293	63	351	0.9661016949152542
GH105.hmm	332	BCW-200061_00768	379	5.9e-113	10	331	60	375	0.9668674698795181
GT35.hmm	674	BCW-200061_00799	813	1.6e-265	1	673	100	811	0.9970326409495549
GH1.hmm	429	BCW-200061_00924	478	6.1e-149	1	428	1	474	0.9953379953379954
GH36.hmm	688	BCW-200061_00927	708	1.1e-234	2	673	6	653	0.9752906976744186
GH13_19.hmm	322	BCW-200061_00936	688	1.2e-146	1	322	228	605	0.9968944099378882
GT19.hmm	354	BCW-200061_00994	382	7.3e-141	1	353	8	365	0.9943502824858758
GH32.hmm	293	BCW-200061_01081	477	5.7e-107	1	293	28	329	0.9965870307167235
GH1.hmm	429	BCW-200061_01161	471	3.2e-150	3	428	7	467	0.9906759906759907
GH123.hmm	538	BCW-200061_01167	553	8.2e-24	72	512	64	522	0.8178438661710037
GT2_Glycos_transf_2.hmm	170	BCW-200061_01390	703	5.4e-36	1	170	130	301	0.9941176470588236
GH8.hmm	320	BCW-200061_01394	343	9e-85	3	318	31	333	0.984375
GT28.hmm	157	BCW-200061_01530	354	8.2e-49	2	157	185	341	0.9872611464968153
CE11.hmm	271	BCW-200061_01536	305	2.8e-120	1	270	4	276	0.992619926199262
GH102.hmm	157	BCW-200061_01622	381	2.3e-41	1	156	126	257	0.9872611464968153
GT51.hmm	177	BCW-200061_01638	787	1.1e-42	10	160	65	216	0.847457627118644
GH1.hmm	429	BCW-200061_01644	466	2.2e-153	2	428	2	460	0.993006993006993
GH23.hmm	135	BCW-200061_01669	485	9.8e-28	7	121	294	447	0.8444444444444444
GH31.hmm	427	BCW-200061_01761	675	8.5e-104	7	425	226	663	0.9789227166276346
GH23.hmm	135	BCW-200061_01791	358	1e-22	16	123	206	354	0.7925925925925926
GT51.hmm	177	BCW-200061_01913	243	9.8e-55	10	177	62	229	0.943502824858757
GH1.hmm	429	BCW-200061_02176	470	9.2e-169	3	428	2	467	0.9906759906759907
CE10.hmm	341	BCW-200061_02241	305	4.7e-72	75	323	55	295	0.7272727272727273
AA3.hmm	618	BCW-200061_02268	524	6.4e-22	85	399	15	517	0.5080906148867314
AA3.hmm	618	BCW-200061_02271	594	4.9e-47	84	401	8	593	0.5129449838187702
AA3.hmm	618	BCW-200061_02272	611	8e-44	84	404	8	606	0.517799352750809
GH28.hmm	325	BCW-200061_02276	610	3.4e-59	15	306	190	566	0.8953846153846153
GH3.hmm	216	BCW-200061_02332	783	3.8e-64	23	216	73	281	0.8935185185185185
GT9.hmm	225	BCW-200061_02527	348	4.7e-54	1	203	69	306	0.8977777777777778
GT9.hmm	225	BCW-200061_02528	321	1.1e-39	3	205	77	301	0.8977777777777778
GT4.hmm	160	BCW-200061_02529	387	1.8e-22	12	139	180	306	0.79375
GT2_Glycos_transf_2.hmm	170	BCW-200061_02531	329	1.8e-27	1	154	9	160	0.9
GT9.hmm	225	BCW-200061_02532	364	5.1e-41	4	205	103	330	0.8933333333333333
GT9.hmm	225	BCW-200061_02534	359	2.5e-60	3	204	88	321	0.8933333333333333
GT4.hmm	160	BCW-200061_02535	375	1.2e-31	6	148	202	337	0.8875
GT4.hmm	160	BCW-200061_02536	365	8.6e-31	8	153	198	341	0.90625
GT9.hmm	225	BCW-200061_02537	337	5e-38	5	206	81	319	0.8933333333333333
GT30.hmm	177	BCW-200061_02538	425	6e-75	1	176	33	211	0.9887005649717514
GT2_Glycos_transf_2.hmm	170	BCW-200061_02539	257	2.4e-21	1	139	8	138	0.8117647058823529
CE10.hmm	341	BCW-200061_02617	271	4.7e-19	58	309	27	242	0.7360703812316716
GH73.hmm	128	BCW-200061_02687	313	6e-36	8	127	163	295	0.9296875
CE10.hmm	341	BCW-200061_02766	324	4.4e-64	37	335	22	321	0.873900293255132
GT2_Glycos_transf_2.hmm	170	BCW-200061_02805	335	3.3e-31	1	126	6	129	0.7352941176470589
GH19.hmm	231	BCW-200061_02846	207	6.5e-33	40	169	17	186	0.5584415584415584
GH18.hmm	296	BCW-200061_02914	426	2.9e-74	5	287	31	413	0.9527027027027027
GH103.hmm	295	BCW-200061_02943	342	6.3e-114	1	294	45	340	0.9932203389830508
GT2_Glycos_transf_2.hmm	170	BCW-200061_03024	573	1.4e-19	1	128	11	137	0.7470588235294118
AA3.hmm	618	BCW-200061_03110	529	5.4e-46	87	398	4	526	0.5032362459546925
GH4.hmm	179	BCW-200061_03123	440	8.4e-71	2	178	6	182	0.9832402234636871
CE10.hmm	341	BCW-200061_03150	366	1.4e-59	18	337	55	365	0.9354838709677419
GT2_Glycos_transf_2.hmm	170	BCW-200061_03277	326	1e-33	1	167	11	172	0.9764705882352941
GT83.hmm	540	BCW-200061_03280	554	3.5e-144	7	525	6	523	0.9592592592592593
GH13_5.hmm	343	BCW-200061_03323	496	4.6e-143	2	342	31	374	0.9912536443148688
GH3.hmm	216	BCW-200061_03337	765	1e-67	3	215	98	319	0.9814814814814815
CE1.hmm	227	BCW-200061_03533	450	5e-22	1	221	203	428	0.9691629955947136
CE9.hmm	373	BCW-200061_03594	402	9.5e-94	2	373	10	397	0.9946380697050938
GT9.hmm	225	BCW-200061_03750	389	4.1e-51	3	206	102	339	0.9022222222222223
GH73.hmm	128	BCW-200061_03797	948	2.2e-31	3	127	812	942	0.96875
PL17_1.hmm	135	BCW-200061_03828	672	1.6e-74	1	134	375	508	0.9851851851851852
GT2_Glycos_transf_2.hmm	170	BCW-200061_03889	839	3.4e-25	2	168	242	424	0.9764705882352941
GH3.hmm	216	BCW-200061_03938	343	1.4e-53	10	216	56	278	0.9537037037037037
GH1.hmm	429	BCW-200061_04082	476	3.7e-152	4	428	5	472	0.9883449883449883
GH3.hmm	216	BCW-200061_04105	677	1.2e-57	2	213	143	417	0.9768518518518519
GH13_29.hmm	345	BCW-200061_04106	554	2.5e-190	2	344	30	371	0.991304347826087
GH20.hmm	337	BCW-200061_04110	797	6.1e-116	9	336	158	587	0.9703264094955489
AA3_2.hmm	570	BCW-200061_04125	546	1.4e-105	3	566	16	543	0.987719298245614
GH28.hmm	325	BCW-200061_04132	598	4.9e-58	22	305	132	524	0.8707692307692307
GH38.hmm	269	BCW-200061_04211	878	1.4e-75	2	256	7	264	0.9442379182156134
GH23.hmm	135	BCW-200061_04261	642	1.7e-32	12	120	488	618	0.8
GH24.hmm	137	BCW-200061_04348	184	8.4e-45	2	137	29	160	0.9854014598540146
GH24.hmm	137	BCW-200061_04436	161	1.1e-47	7	137	25	152	0.948905109489051
GH2.hmm	752	BCW-200061_04471	1030	3.2e-226	16	750	41	920	0.976063829787234
GH2.hmm	752	BCW-200061_04474	1023	3.3e-212	16	751	28	882	0.9773936170212766
AA3.hmm	618	BCW-200061_04479	592	5.1e-48	84	402	3	583	0.5145631067961165
GH23.hmm	135	BCW-200061_04560	201	8e-23	17	122	53	199	0.7777777777777778
CBM41.hmm	102	BCW-200061_04601	1087	7.7e-18	10	101	72	168	0.8921568627450981
GH13_13.hmm	383	BCW-200061_04601	1087	1.4e-182	1	383	465	885	0.9973890339425587
GH20.hmm	337	BCW-200061_04681	887	2.8e-105	7	336	332	765	0.9762611275964391
CE9.hmm	373	BCW-200061_04698	379	7.4e-123	1	373	4	376	0.9973190348525469
GH3.hmm	216	BCW-200061_04810	621	7e-61	4	216	112	347	0.9814814814814815
CBM34.hmm	120	BCW-200061_04955	607	1.6e-17	2	106	5	110	0.8666666666666667
GH13_21.hmm	322	BCW-200061_04955	607	6.3e-139	2	322	172	492	0.9937888198757764
GH16.hmm	189	BCW-200061_05038	262	6.9e-20	6	186	22	254	0.9523809523809523
GH23.hmm	135	BCW-200061_05103	457	4.1e-21	2	129	106	251	0.9407407407407408
CBM48.hmm	76	BCW-200061_05170	727	1.4e-21	2	72	124	211	0.9210526315789473
GH13_9.hmm	291	BCW-200061_05170	727	1.1e-143	1	290	274	574	0.993127147766323
GH13_11.hmm	346	BCW-200061_05171	661	2.9e-132	1	345	173	522	0.9942196531791907
GT5.hmm	472	BCW-200061_05173	477	2.9e-166	1	471	2	474	0.9957627118644068
GT35.hmm	674	BCW-200061_05174	815	3.5e-285	1	674	101	811	0.9985163204747775
GT35.hmm	674	BCW-200061_05184	801	1.9e-261	1	673	92	799	0.9970326409495549
GH77.hmm	494	BCW-200061_05185	693	1.9e-163	1	490	146	685	0.9898785425101214
GT51.hmm	177	BCW-200061_05205	852	5.2e-70	2	176	55	229	0.9830508474576272
GH4.hmm	179	BCW-200061_05225	436	1.2e-70	1	179	5	185	0.994413407821229
GT26.hmm	171	BCW-200061_05340	246	3e-64	2	171	62	231	0.9883040935672515
GT56.hmm	357	BCW-200061_05342	361	5.3e-170	1	356	1	354	0.9943977591036415
GH8.hmm	320	BCW-200061_05362	371	6e-99	1	319	27	346	0.99375
GT2_Glycos_transf_2.hmm	170	BCW-200061_05364	867	8.8e-36	2	170	275	445	0.9882352941176471
